ID;Name_Validity;Division;Class;Sublass;Order;Family;Rank;Name;Author;Czech_name;presence;RL_Evaluation
270;V;10008;10013;10017;10020;10025;34;Riccia huebeneriana;Lindenb.;trhutka Hübenerova;Y;EN
271;V;10008;10013;10017;10020;10025;34;Riccia michelii;Raddi;trhutka Michelova;N;NE
272;V;10008;10013;10017;10020;10025;34;Riccia papillosa;Moris;trhutka papilnatá;Y;CR
273;V;10008;10013;10017;10020;10025;34;Riccia rhenana;Lorb. ex Müll.Frib.;trhutka rınská;Y;NT
274;V;10008;10013;10017;10020;10025;34;Riccia sorocarpa;Bisch.;trhutka obecná;Y;LC
275;V;10008;10013;10017;10020;10025;34;Riccia warnstorfii;Limpr. ex Warnst.;trhutka Warnstorfova;Y;VU
276;V;10008;10013;10017;10020;10025;28;Ricciocarpos;Corda;nalovka;Y;
277;V;10008;10013;10017;10020;10025;34;Ricciocarpos natans;(L.) Corda;nalovka plovoucí;Y;NT
278;V;10008;10027;10028;10029;10043;28;Saccogyna;Dumort.;(bez èeského jména);N;
279;V;10008;10027;10028;10029;10043;34;Saccogyna viticulosa;(L.) Dumort.;(bez èeského jména);N;NE
280;V;10008;10027;10028;10029;10035;28;Scapania;(Dumort.) Dumort.;kılnatka;Y;
281;V;10008;10027;10028;10029;10035;34;Scapania aequiloba;(Schwägr.) Dumort.;kılnatka stejnolaloèná;Y;NT
282;V;10008;10027;10028;10029;10035;34;Scapania apiculata;Spruce;kılnatka špièatá;Y;CR
283;V;10008;10027;10028;10029;10035;34;Scapania aspera;M.Bernet & Bernet;kılnatka drsná;Y;VU
284;V;10008;10027;10028;10029;10035;34;Scapania calcicola;(Arnell & J.Perss.) Ingham;kılnatka vápencová;Y;EN
285;V;10008;10027;10028;10029;10035;34;Scapania carinthiaca;J.B.Jack ex Lindb.;kılnatka korutanská;V;RE
286;V;10008;10027;10028;10029;10035;36;Scapania carinthiaca var. massalongi;Müll.Frib.;kılnatka korutanská Massalongova;V;RE
287;V;10008;10027;10028;10029;10035;34;Scapania compacta;(Roth) Dumort.;kılnatka sloená;V;DD-va
288;V;10008;10027;10028;10029;10035;34;Scapania curta;(Mart.) Dumort.;kılnatka drobná;Y;LC
289;V;10008;10027;10028;10029;10035;34;Scapania cuspiduligera;(Nees) Müll.Frib.;kılnatka pøišpièatìlá;Y;VU
290;V;10008;10027;10028;10029;10035;34;Scapania gymnostomophila;Kaal.;kılnatka vzácná;Y;EN
291;V;10008;10027;10028;10029;10035;34;Scapania helvetica;Gottsche;kılnatka švıcarská;Y;CR
292;V;10008;10027;10028;10029;10035;34;Scapania irrigua;(Nees) Nees;kılnatka zavlaovaná;Y;LC
293;V;10008;10027;10028;10029;10035;34;Scapania lingulata;H.Buch;kılnatka drobnolistá;Y;EN
294;V;10008;10027;10028;10029;10035;34;Scapania mucronata;H.Buch;kılnatka ostnitá;Y;DD
295;V;10008;10027;10028;10029;10035;34;Scapania nemorea;(L.) Grolle;kılnatka hajní;Y;LC
296;V;10008;10027;10028;10029;10035;34;Scapania paludicola;Loeske & Müll.Frib.;kılnatka bainná;Y;VU
297;V;10008;10027;10028;10029;10035;34;Scapania paludosa;(Müll.Frib.) Müll.Frib.;kılnatka moèálová;Y;VU
298;V;10008;10027;10028;10029;10035;34;Scapania parvifolia;Warnst.;kılnatka malolistá;Y;CR
299;V;10008;10027;10028;10029;10035;34;Scapania praetervisa;Meyl.;kılnatka opomíjená;Y;VU
300;V;10008;10027;10028;10029;10035;34;Scapania scandica;(Arnell & H.Buch) Macvicar;kılnatka vystoupavá;Y;DD
301;V;10008;10027;10028;10029;10035;34;Scapania subalpina;(Nees ex Lindenb.) Dumort.;kılnatka horská;Y;NT
302;V;10008;10027;10028;10029;10035;34;Scapania uliginosa;(Lindenb.) Dumort.;kılnatka mokøadní;Y;LC
303;V;10008;10027;10028;10029;10035;34;Scapania umbrosa;(Schrad.) Dumort.;kılnatka stinná;Y;LC
304;V;10008;10027;10028;10029;10035;34;Scapania undulata;(L.) Dumort.;kılnatka zvlnìná;Y;LC
305;V;10008;10027;10028;10029;10035;34;Scapania verrucosa;Heeg;kılnatka bradaviènatá;N;NE
306;V;10008;10027;10028;10029;10035;28;Schistochilopsis;(N.Kitag.) Konstant.;klanoústka;Y;
307;V;10008;10027;10028;10029;10035;34;Schistochilopsis grandiretis;(Lindb. ex Kaal.) Konstant.;klanoústka velkobunìèná;Y;VU
308;V;10008;10027;10028;10029;10035;34;Schistochilopsis incisa;(Schrad.) Konstant.;klanoústka zaøíznutá;Y;LC
309;V;10008;10027;10028;10029;10035;34;Schistochilopsis opacifolia;(Culm. ex Meyl.) Konstant.;klanoústka tmavá;Y;DD-va
310;V;10008;10027;10028;10029;10031;28;Schljakovia;Konstant. & Vilnet;seèovka;Y;
311;V;10008;10027;10028;10029;10031;34;Schljakovia kunzeana;(Huebener) Konstant. & Vilnet;seèovka Kunzeova;Y;EN
312;V;10008;10027;10028;10029;10031;28;Schljakovianthus;Konstant. & Vilnet;seèovka;Y;
313;V;10008;10027;10028;10029;10031;34;Schljakovianthus quadrilobus;(Lindb.) Konstant. & Vilnet;seèovka ètyølaloèná;Y;EN
314;V;10008;10027;10028;10029;10044;28;Solenostoma;Mitt.;ústìnka;Y;
315;V;10008;10027;10028;10029;10044;34;Solenostoma confertissimum;(Nees) Schljakov;ústìnka Levierova;Y;VU
316;V;10008;10027;10028;10029;10044;34;Solenostoma gracillimum;(Sm.) R.M.Schust.;ústìnka vroubená;Y;LC
317;V;10008;10027;10028;10029;10044;34;Solenostoma hyalinum;(Lyell) Mitt.;ústìnka bledá;Y;NT
318;V;10008;10027;10028;10029;10044;34;Solenostoma obovatum;(Nees) C.Massal.;ústìnka obvejèitá;Y;LC
319;V;10008;10027;10028;10029;10044;34;Solenostoma sphaerocarpum;(Hook.) Steph.;ústìnka okrouhlá;Y;LC
320;V;10008;10027;10028;10029;10031;28;Sphenolobus;(Lindb.) Berggr.;nuzenka;Y;
321;V;10008;10027;10028;10029;10031;34;Sphenolobus minutus;(Schreb. ex D.Crantz) Berggr.;nuzenka drobná;Y;LC
322;V;10008;10027;10028;10029;10031;34;Sphenolobus saxicola;(Schrad.) Steph.;nuzenka skalní;Y;VU
323;V;10008;10027;10028;10029;10030;28;Syzygiella;Spruce;vidoòka;Y;
324;V;10008;10027;10028;10029;10030;34;Syzygiella autumnalis;(DC.) K.Feldberg, Váòa, Hentschel & Heinrichs;vidoòka podzimní;Y;VU
325;V;10008;10013;10017;10020;10026;28;Targionia;L.;boreèka;Y;
326;V;10008;10013;10017;10020;10026;34;Targionia hypophylla;L.;boreèka vzácná;Y;CR
327;V;10008;10027;10028;10029;10031;28;Tetralophozia;(R.M.Schust.) Schljakov;toporec;Y;
328;V;10008;10027;10028;10029;10031;34;Tetralophozia setiformis;(Ehrh.) Schljakov;toporec štìtinatı;Y;VU
329;V;10008;10027;10028;10029;10049;28;Trichocolea;Dumort.;pìknice;Y;
330;V;10008;10027;10028;10029;10049;34;Trichocolea tomentella;(Ehrh.) Dumort.;pìknice plstnatá;Y;LC-att
331;V;10008;10027;10028;10029;10034;28;Trilophozia;(R.M.Schust.) Bakalin;palèice;Y;
332;V;10008;10027;10028;10029;10034;34;Trilophozia quinquedentata;(Huds.) Bakalin;palèice hrotitá;Y;LC
333;V;10008;10027;10028;10029;10034;28;Tritomaria;Schiffn. ex Loeske;palèice;Y;
