"spec","Osobní nálezy","ČBFS","Bryonora (M)","ČNFD","NDOP","total","RL_eval"
"Leptoscyphus",0,0,0,2,0,2,""
"Marsupella",0,0,0,2,0,2,""
"Nardia insecta",0,0,0,0,2,2,"DD-va"
"Orthothecium rufescens",0,0,0,2,0,2,"RE"
"Orthotrichum schimperi",0,2,0,0,0,2,"NE"
"Oxyrrhynchium hians var. hians",0,0,0,2,0,2,"NE"
"Plagiobryum demissum",0,0,0,0,2,2,"NE"
"Platydictya jungermannioides",0,1,0,0,1,2,"CR"
"Pohlia lutescens",0,1,0,0,1,2,"DD"
"Pohlia sphagnicola",0,0,0,2,0,2,"NE"
"Rhodobryum",0,0,0,0,2,2,""
"Rhynchostegium",0,0,0,2,0,2,""
"Rhytidium",0,0,0,2,0,2,""
"Ricciocarpos",0,0,0,2,0,2,""
"Scapania apiculata",0,1,0,0,1,2,"CR"
"Scleropodium",0,0,0,1,1,2,""
"Tortula muralis subsp. obtusifolia",0,0,0,0,2,2,"NE"
"Tortula schimperi",0,2,0,0,0,2,"DD"
"Abietinella abietina var. hystricosa",0,0,0,1,0,1,"DD"
"Aneura",0,0,0,1,0,1,""
"Anomodon rostratus",0,0,0,0,1,1,"DD-va"
"Bartramia",0,0,0,0,1,1,""
"Bazzania trilobata var. depauperata",0,1,0,0,0,1,"NE"
"Biantheridion undulifolium",0,0,0,0,1,1,"RE"
"Brachythecium laetum",0,0,0,1,0,1,"EN"
"Bryum knowltonii",0,0,0,1,0,1,"NE"
"Bryum kunzei",0,0,0,0,1,1,"DD"
"Cephalozia lacinulata",0,0,0,0,1,1,"RE"
"Cephaloziella stellulifera",0,0,0,0,1,1,"CR"
"Cinclidotus fontinaloides",0,0,1,0,0,1,"CR"
"Cinclidotus riparius",0,1,0,0,0,1,"VU"
"Cynodontium fallax",0,0,0,0,1,1,"NE"
"Dichelyma",0,0,0,1,0,1,""
"Dichodontium",0,0,0,0,1,1,""
"Dicranoweisia",0,0,0,0,1,1,""
"Drepanocladus longifolius",0,0,0,0,1,1,"DD-va"
"Encalypta rhaptocarpa var. leptodon",0,0,0,0,1,1,"DD"
"Eurhynchiastrum pulchellum var. pulchellum",0,0,0,1,0,1,"NE"
"Fissidens limbatus",0,0,0,0,1,1,"DD"
"Fissidens rivularis",0,0,0,0,1,1,"NE"
"Fissidens rufulus",0,0,0,0,1,1,"NT"
"Fossombronia angulosa",0,0,0,0,1,1,"RE"
"Gymnomitrion brevissimum",0,0,0,0,1,1,"RE"
"Gymnomitrion obtusum",0,0,0,0,1,1,"RE"
"Gymnostomum",0,1,0,0,0,1,""
"Gymnostomum calcareum",0,0,1,0,0,1,"DD"
"Herzogiella",0,0,0,0,1,1,""
"Hygroamblystegium",0,0,0,0,1,1,""
"Hypnum cupressiforme var. heseleri",0,1,0,0,0,1,"DD"
"Hypnum recurvatum",0,0,0,0,1,1,"CR"
"Hypnum sauteri",0,0,0,0,1,1,"CR"
"Lescuraea saxicola",0,0,0,1,0,1,"DD-va"
"Liochlaena subulata",0,0,0,0,1,1,"CR"
"Mannia",0,1,0,0,0,1,""
"Meesia",0,0,0,1,0,1,""
"Mesoptychia",0,0,0,1,0,1,""
"Metzgeria",0,0,0,1,0,1,""
"Microbryum",0,0,0,0,1,1,""
"Mylia",0,0,0,1,0,1,""
"Nardia",0,0,0,0,1,1,""
"Neckera pumila",0,0,0,0,1,1,"RE"
"Odontoschisma",0,0,0,1,0,1,""
"Oncophorus wahlenbergii",0,0,0,0,1,1,"RE"
"Orthothecium",0,0,0,1,0,1,""
"Orthotrichum alpestre",1,0,0,0,0,1,"CR"
"Oxystegus",0,0,0,1,0,1,""
"Pallavicinia lyellii",0,0,0,0,1,1,"RE"
"Plagiopus",0,0,0,0,1,1,""
"Pogonatum",0,0,0,1,0,1,""
"Pohlia andrewsii",0,1,0,0,0,1,"NE"
"Pohlia elongata var. greenii",0,1,0,0,0,1,"NE"
"Pohlia wahlenbergii var. calcarea",0,1,0,0,0,1,"NE"
"Polytrichastrum sexangulare",0,0,0,1,0,1,"RE"
"Pterygoneurum",0,0,0,1,0,1,""
"Racomitrium ericoides",0,1,0,0,0,1,"NE"
"Scapania carinthiaca var. massalongi",0,0,0,0,1,1,"RE"
"Schistidium strictum",0,0,0,0,1,1,"NE"
"Schistidium trichodon var. trichodon",0,0,0,0,1,1,"LC-att"
"Syntrichia laevipila",0,0,0,0,1,1,"DD-va"
"Syntrichia montana var. calva",0,1,0,0,0,1,"NE"
"Tayloria splachnoides",0,0,0,1,0,1,"RE"
"Thamnobryum",0,0,0,0,1,1,""
"Trematodon ambiguus",0,0,0,0,1,1,"CR"
"Trichostomum",0,0,0,1,0,1,""
"Weissia levieri",0,0,0,1,0,1,"NE"
"Weissia rostellata",0,0,0,1,0,1,"DD-va"
